1A, 1B + 4 moines
-;66%;-;-;40%;-;-;B;30%;-;-;A;B;40%
B;16%;-;B;26%;-;-;A;30%;-;-;-;B;26%
A;16%;-;A;26%;-;A;B;20%;-;-;-;A;26%
;;A;B;6%;-;-;-;20%;-;-;-;-;6%
2A, 1B + 4 moines
-;57%;-;A;38%;-;-;A;34%;-;-;A;B;34%
A;28%;-;-;28%;-;A;B;22%;-;-;-;A;22%
B;14%;-;B;19%;-;-;B;17%;-;-;A;A;17%
;;A;B;9%;-;A;A;11%;-;A;A;B;11%
;;A;A;4%;-;-;-;11%;-;-;-;B;11%
;;;;;A;A;B;2%;-;-;-;-;2%
3A, 1B + 4 moines
-;50%;-;A;42%;-;-;A;32%;-;-;A;B;25%
A;37%;-;-;21%;-;A;B;21%;-;-;A;A;25%
B;12%;-;B;14%;-;A;A;21%;-;A;A;B;17%
;;A;B;10%;-;-;B;10%;-;-;-;A;17%
;;A;A;10%;-;-;-;7%;-;A;A;A;5%
;;;;;A;A;B;5%;-;-;-;B;5%
;;;;;A;A;A;1%;A;A;A;B;1%
;;;;;;;;;-;-;-;-;1%
2A, 2B + 4 moines
-;50%;-;B;28%;-;A;B;28%;-;-;A;B;34%
B;25%;-;A;28%;-;-;B;21%;-;A;B;B;11%
A;25%;-;-;21%;-;-;A;21%;-;A;A;B;11%
;;A;B;14%;-;B;B;7%;-;-;-;B;11%
;;B;B;3%;-;A;A;7%;-;-;-;A;11%
;;A;A;3%;-;-;-;7%;-;-;B;B;8%
;;;;;A;B;B;3%;-;-;A;A;8%
;;;;;A;A;B;3%;A;A;B;B;1%
;;;;;;;;;-;-;-;-;1%
4A, 1B + 4 moines
A;44%;-;A;44%;-;A;A;28%;-;-;A;A;28%
-;44%;A;A;16%;-;-;A;28%;-;A;A;B;19%
B;11%;-;-;16%;-;A;B;19%;-;-;A;B;19%
;;A;B;11%;A;A;B;7%;-;A;A;A;12%
;;-;B;11%;-;-;B;7%;-;-;-;A;12%
;;;;;A;A;A;4%;A;A;A;B;3%
;;;;;-;-;-;4%;-;-;-;B;3%
;;;;;;;;;A;A;A;A;0%
;;;;;;;;;-;-;-;-;0%
3A, 2B + 4 moines
-;44%;-;A;33%;-;A;B;28%;-;-;A;B;28%
A;33%;-;B;22%;-;-;A;21%;-;A;A;B;19%
B;22%;A;B;16%;-;A;A;14%;-;-;A;A;14%
