Sune, S, Swimming Left
OLL 	R U R' U R U2 R' 	Cube Camera Icon.png[1]
OLL 	(U L U' R') (U L' U' R) 	
OLL 	y' R' U2 R U R' U R 	
OLL 	y L' U2 L U L' U L 	
OLL 	y2 L U L' U L U2 L' 	
OLL 	R U' L' U R' U' L 	
OLL 	U2 r2 U R' U' L' U R U' r' (x') 	
OLL 	y' U R U' L' U R' U' L

Antisune, -S, Swimming Right
OLL 	L' U' L U' L' U2 L 	Cube Camera Icon.png[2]
OLL 	(R' U L U') (R U L') 	
OLL 	y2 R' U' R U' R' U2 R 	
OLL 	y' R U2 R' U' R U' R' 	
OLL 	y L U2 L' U' L U' L' 	
OLL 	L' U R U' L U R' 	
OLL 	y' L' U R U' L U R' 	
OLL 	y' R U2 R' U2' R' F R2 U' R' U' R U R' F'

Flip
OLL 	R U R' U R U' R' U R U2 R' 	
OLL 	y R U2 R' U' R U R' U' R U' R' 	
OLL 	y F (R U R' U')3 F' 	
OLL 	y F' (L' U' L U) (L' U' L U) (L' U' L U) F 	
OLL 	R' U' R U' R' U R U' R' U2 R 	
OLL 	L U L' U L U' L' U L U2 L' 	
OLL 	y L' U2 L U L' U' L U L' U L 	
OLL 	y (R' U R U) (R' U R U') (R' U R U') R' U' R U2 R' U R 	
OLL 	L' U2 M' (y) R U2 R U2 R' U2 (y') l

Pi
OLL 	R U2 R2' U' R2 U' R2' U2 R 	
OLL 	f (R U R' U') f' F (R U R' U') F' 	
OLL 	y2 f' (L' U' L U) f F' (L' U' L U) F 	
OLL 	y2 L' U2 L2 U L2 U L2 U2 L' 	
OLL 	R U2 R2 U' R' U R U' R U' R' y M' U2 M 	
OLL 	R' U L U' R U' L' U' L U' L' 	
OLL 	y2 L U' R' U L' U R U R' U R 	
OLL 	y2 L' U R U' L U' R' U' R U' R' 	
OLL 	R U' L' U R' U L U L' U L 	
OLL 	R U R' U R U2 R' y' R U R' U R U2 R' 	
OLL 	R U R' U' R' F R2 U R' U' R U R' U' F' 	
OLL 	(R' U L U' R U L') U2 (R' U L U' R U L')

Headlights
OLL 	R2' D' R U2 R' D R U2 R 	
OLL 	R' U2 R F U' R' U' R U F' 	
OLL 	F R U' R' U R U R' U R U' R' F' 	
OLL 	(y') R U R' U' (R U' R' U2) (R U' R' U2) R U R' 	
OLL 	(R' U' R U') R' U2 R2 U (R' U R U2 R') 	
OLL 	R' U L' U R U' L U2 R' U R 	
OLL 	F (R U R' U') (R' F R F2) (L' U2 L) 	
OLL 	L2 D L' U2 L D' L' U2 L' 	
OLL 	l2 U' R D2 R' U R D2 R 	
OLL 	l2' U' z' U R2 U' L U R2 z' L 	
OLL 	(y2) R' F2 R U2 R U2 R' F2 R U2 R' 	
OLL 	(y2) R2 D R' U2 R D' R' U2 R' 	
OLL 	R2' B2 R F2' R' B2 R F2' R 	
OLL 	(y2) R d' R' U R d R' (y) R' U2 R 	
OLL 	(x) R' B2' (R U' R' U) B2' (U' R U) 	
OLL 	(y2)R U R' U R U2 R2' U' R U' R' U2' R 	
OLL 	(R U R' U')3 (R' F R F')3

Chameleon
OLL 	L F R' F' L' F R F' 	
OLL 	r U R' U' L' U R U' x' 	
OLL 	r U R' U' r' F R F' 	
OLL 	(y' x') R U R' D R U' R' D' 	
OLL 	(y') F R U R' U' R U' R' U' R U R' F' 	
OLL 	R U R2' U' R2 U' R2' U2' R U' R U' R' 	
OLL 	(y') R U' R' (U2 R U R') (U2 R U R') (U R U' R') 	
OLL 	(y x) D' R' U R D R' U' R x' 	
OLL 	(y x) D L U' L' D' L U L' x' 	
OLL 	(y x') U' R' D R U R' D' R x 	
OLL 	(y2) R' F' L F R F' L' F 	
OLL 	(y2) R' F' r U R U' r' F 	
OLL 	(y2) l' U' L U R U' r' F 	
OLL 	(y') l U l' F R B' R' F' 	
OLL 	R U' R' F R U R' U' R' F' R2 U' R' U2 R U' R' 	
OLL 	(y) R U R D R' U' R D' R2 	
OLL 	(y') R' U' R' D' R U R' D R2

Bowtie
OLL 	R U2 R' U' (R U R' U') (R U R' U') R U' R' 	
OLL 	R U R' U (R U' R' U) (R U' R' U) R U2 R' 	
OLL 	y2 R' F R B' R' F' R B 	
OLL 	y2 F R' F' L F R F' L' 	
OLL 	y F' L F R' F' L' F R 	
OLL 	y' F' r U R' U' r' F R 	
OLL 	y' x U R' U' L U R U' r' 	
OLL 	R' F' L' F R F' L F 	
OLL 	y R' U' (R U R' F') (R U R' U') (R' F R2) 	
OLL 	y2 R U2' R D R' U2 R D' R2' 	
OLL 	y2 F R' F' r U R U' r' 	
OLL 	y2 l' U R D' R' U' R D x' 	
OLL 	x' D R U R' D' R U' l' 	
OLL 	x' U L' U' R U L U' l' 	
